"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF",Democratic People,PRK,11.552,11.546,9.135
TAJIKISTAN,Republic of Tajikistan,TJK,3.728,2.775,2.070
JORDAN,Hashemite Kingdom of Jordan,JOR,16.745,17.249,16.440
UGANDA,Republic of Uganda,UGA,24.768,24.542,24.653
MADAGASCAR,Republic of Madagascar,MDG,26.088,25.920,25.749
SOUTH AFRICA,Republic of South Africa,ZAF,21.401,21.552,21.358
BELARUS,Repubic of Belarus,BLR,6.134,4.565,4.119
BURUNDI,Republic of Burundi,BDI,26.380,25.992,26.025
MALTA,Republic of Malta,MLT,14.722,13.479,16.864
UNITED KINGDOM,United Kingdom of Great Britain and Nort,GBR,-0.468,0.315,1.122
INDIA,Republic of Indonesia,IND,16.917,17.715,18.256
KAZAKHSTAN,Republic of Kazakhstan,KAZ,-11.858,-4.956,-4.243
CZECH REPUBLIC,Czech Republic,CZE,3.848,3.718,4.221
HAITI,Republic of Haiti,HTI,20.566,21.128,21.661
PARAGUAY,Republic of Paraguay,PRY,26.744,28.445,28.717
MOLDOVA,Republic of Moldova,MDA,8.442,7.000,5.914
SAMOA,Independent State of Samoa,WSM,22.293,22.445,21.473
RWANDA,Republic of Rwanda,RWA,26.051,25.557,25.741
MARTINIQUE,Martinique,MTQ,27.160,27.149,26.872
COLOMBIA,Republic of Colombia,COL,25.317,25.583,25.818
MALI,Republic of Mali,MLI,25.487,25.885,25.930
GUINEA,Republic of Guinea,GIN,26.854,27.385,27.088
COMOROS,Comoros,COM,26.931,26.603,26.432
UNITED ARAB EMIRATES,United Arab Emirates,ARE,21.419,21.198,21.341
INDONESIA,Republic of Indonesia,IDN,26.276,26.688,26.671
CONGO,Republic of Congo,COG,26.142,26.072,26.085
SRILANKA,Democratic Socialist Republic of Sri Lan,LKA,25.907,26.088,25.533
ARGENTINA,Argentina,ARG,18.603,19.404,19.083
GABON,Gabonese Republic,GAB,25.816,26.148,26.507
"CONGO,THE DEMOCRATIC REPUBLIC OF THE",Democratic Republic of Congo,COD,26.357,26.216,26.052
CROATIA,Republic of Croatia,HRV,6.680,4.690,7.413
RUSSIAN FEDERATION,Russian Federation,RUS,-16.217,-15.891,-16.311
SWAZILAND,Kingdom of Swaziland,SWZ,22.212,22.400,21.781
SOMALIA,Somalia Republic,SOM,24.959,25.059,25.033
AZERBAIJAN,Republic of Azerbaijan,AZE,14.376,14.466,13.467
CAMBODIA,Kingdom of Cambodia,KHM,26.332,26.200,26.213
GREENLAND,Greenland,GRL,-24.577,-25.974,-26.412
CAMEROON,Republic of Cameroon,CMR,26.387,26.229,26.333
GREECE,Hellenic Republic,GRC,13.020,11.087,10.915
REUNION,Reunion,REU,25.502,24.138,25.271
LIECHTENSTEIN,Principality of Liechtenstein,LIE,3.697,3.431,5.992
GRENADA,Grenada,GRD,27.284,26.746,27.799
ARMENIA,Republic of Armenia,ARM,13.996,13.842,13.597
LIBYA,Great Socialist People,LBY,21.065,20.146,20.719
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,South Georgia and the South Sandwich Isl,SGS,4.460,4.298,4.867
BHUTAN,Kingdom of Bhutan,BTN,10.973,13.135,11.189
SINGAPORE,Republic of Singapore,SGP,17.581,19.617,22.979
LIBERIA,Republic of Liberia,LBR,26.722,27.455,26.876
ITALY,Italian Republic,ITA,7.421,6.668,10.898
LEBANON,Lebanese Republic,LBN,15.106,15.942,13.856
MONTENEGRO,Reoublic of Montenegro,YUG,9.311,6.705,8.622
NIGER,Republic of Niger,NER,24.894,24.815,25.103
CYPRUS,Republic of Cyprus,CYP,15.044,16.194,13.624
CUBA,Republic of Cuba,CUB,15.032,14.885,14.559
ZIMBABWE,Republic of Zimbabwe,ZWE,26.697,26.495,25.707
ISRAEL,State of Israel,ISR,16.322,17.127,15.417
SLOVENIA,Republic of Slovenia,SVN,5.669,4.215,6.509
"KOREA, REPUBLIC OF",Republic of Korea,KOR,18.653,17.542,15.540
YEMEN,Republic of Yemen,YEM,24.791,24.469,24.560
MAURITANIA,Islamic Republic of Mauritania,MRT,25.064,25.933,25.813
SLOVAKIA,Slovakia Republic,SVK,5.197,3.949,4.643
PANAMA,Republic of Panama,PAN,25.639,25.737,25.871
THAILAND,Kingdom of Thailand,THA,26.271,25.798,25.244
FRENCH POLYNESIA,French Polynesia,PYF,24.762,24.880,22.830
KUWAIT,State of Kuwait,KWT,18.501,18.303,19.064
PAKISTAN,Islamic Republic of Pakistan,PAK,16.308,17.242,16.951
ALGERIA,Democratic People,DZA,19.901,21.299,21.943
PHILIPPINES,Republic of Philippines,PHL,26.325,26.045,26.330
DJIBOUTI,Republic of Djibouti,DJI,25.165,25.491,24.990
SWEDEN,Kingdom of Sweden,SWE,-7.012,-8.480,-4.373
"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF",The former Yugoslav Republic of Macedoni,MKD,11.209,8.314,8.626
KYRGYZSTAN,Kyrgyz��Republic,KGZ,-8.301,-4.050,-1.209
SERBIA,Republic of Serbia,SEB,8.607,6.170,7.040
LAOS,Lao People,LAO,26.044,25.413,25.569
SURINAME,Republic of Suriname,SUR,27.379,27.278,27.632
BARBADOS,Barbados,BRB,26.723,26.750,26.857
GHANA,Republic of Ghana,GHA,26.795,26.608,27.237
TONGA,Kingdom of Tonga,TON,21.185,21.323,20.824
